rating,long,place,address,lat,type
4.0,1.5198723,"

Hotel Mu
","Av. de la Cortinada, s/n, La Cortinada AD300, Andorra ",42.5719066,hotel
4.0,1.5394499,"

Roc Blanc Hotel
","Plaza Coprincep 5, Escaldes-Engordany AD700, Andorra ",42.5092338,hotel
4.0,1.5445118,"

Hotel Termes Carlemany
","Av. Carlemany 4, Escaldes-Engordany AD700, Andorra ",42.5092218,hotel
4.5,,"

Hotel Parador Canaro
","Carretera General Incles-Soldeu, Incles AD100, Andorra ",,hotel
4.5,1.5595277,"

Hotel Camp del Serrat
","Carretera Engolasters, Escaldes-Engordany AD700, Andorra ",42.5109116,hotel
4.5,1.7312056,"

Hotel Llac Negre
","Carrer Sant Jordi 43, Pas de la Casa AD200, Andorra ",42.5436545,hotel
4.0,1.5153092,"

Magic La Massana
","Avenguda el Traves 7, La Massana AD400, Andorra ",42.5470398,hotel
4.5,1.5357071,"

A Casa Canut Hotel Gastronomic
","Av Carlemany, 107, Escaldes-Engordany AD700, Andorra ",42.5085227,hotel
4.5,1.5994581,"

Hotel Font d'Argent
","Avda del Coprinceps, s/n, Canillo AD100, Andorra ",42.5666535,hotel
4.0,1.6507314,"

Chalet Casale
","El Tarter, Soldeu, Andorra ",42.5798288,hotel
4.5,1.4927411,"

Coma-Bella Hotel Sant Julia de Loria
","Ctra De La Rabassa, Km 6, Andorra la Vella AD600, Andorra ",42.4662168,hotel
4.5,1.7318651,"

Font D'Argent Hotel
","C/ Bearn, 20, 22, 24, Pas de la Casa AD200, Andorra ",42.5419351,hotel
3.5,1.5155674,"

Abba Xalet Suites Hotel
","Terra Major de Sispony, S/N, Sispony AD400, Andorra ",42.5340788,hotel
4.0,1.5830224,"

Hotel Paris
","Avda. Joan Marti, 2, B, Pta., Encamp AD200, Andorra ",42.5362652,hotel
4.5,1.4968131,"

Hotel Palarine
","Carretera General d'Arinsal, Erts AD400, Andorra ",42.5615915,hotel
4.5,1.7320206,"

Petit Hotel
","C/ Sant Jordi nom 18, Pas de la Casa AD200, Andorra ",42.5431468,hotel
4.5,1.4856863,"

Hotel Palome
","Ctra d'Arinsal, s/n, Erts AD400, Andorra ",42.5716787,hotel
4.5,1.6511742,"

Neilson Hotel Del Clos
","Carretera General s/n, El Tarter AD100, Andorra ",42.5801488,hotel
4.5,1.5149225,"

Hotel Del Pui
","Av. Del Traves, 5, La Massana, Andorra ",42.5471668,hotel
4.5,1.4818459,"

Hotel Spa Diana Parc
","Ctra. General d'Arinsal, Arinsal AD400, Andorra ",42.5748011,hotel
4.5,1.549253,"

Aparthotel Casa Vella
","Carretera Coll d'Ordino, Ordino AD300, Andorra ",42.5538288,hotel
4.5,1.5210137,"

Hotel Sant Miquel
","Carretera General, 3, Ansalonga AD300, Andorra ",42.5686244,hotel
4.5,1.535718,"

Mola Park Atiram Hotel
","Av. Josep Viladomat 22, Escaldes-Engordany AD700, Andorra ",42.5127024,hotel
4.0,1.7315825,"

Hotel Cristina
","La Solana, 24, Pas de la Casa AD200, Andorra ",42.5425666,hotel
4.5,1.4707758,"

Aparthotel Poblado
","Carretera General, Arinsal AD400, Andorra ",42.5846319,hotel
4.5,1.6018053,"

Hotel Obaga Blanca
","Ctra. del Forn, S/N, Canillo AD100, Andorra ",42.5600937,hotel
4.5,1.5994581,"

Aparthotel Els Meners
","Ctra. General s/n, Canillo AD100, Andorra ",42.5666535,hotel
4.5,1.4818459,"

Hotel Montane
","Carretera General d'Arinsal, Arinsal AD400, Andorra ",42.5748011,hotel
4.0,1.638277,"

Hotel Segle XX
","Ctra General de Ransol s/n, Ransol AD100, Andorra ",42.5814049,hotel
4.5,1.5344953,"

Hotel Coma
","Camp de la Tanada, Ordino AD300, Andorra ",42.5553423,hotel
4.0,1.5198723,"

Hotel Mu
","Av. de la Cortinada, s/n, La Cortinada AD300, Andorra ",42.5719066,hotel
4.0,1.5394499,"

Roc Blanc Hotel
","Plaza Coprincep 5, Escaldes-Engordany AD700, Andorra ",42.5092338,hotel
4.0,1.5445118,"

Hotel Termes Carlemany
","Av. Carlemany 4, Escaldes-Engordany AD700, Andorra ",42.5092218,hotel
4.5,,"

Hotel Parador Canaro
","Carretera General Incles-Soldeu, Incles AD100, Andorra ",,hotel
4.5,1.5595277,"

Hotel Camp del Serrat
","Carretera Engolasters, Escaldes-Engordany AD700, Andorra ",42.5109116,hotel
4.5,1.7312056,"

Hotel Llac Negre
","Carrer Sant Jordi 43, Pas de la Casa AD200, Andorra ",42.5436545,hotel
4.0,1.5153092,"

Magic La Massana
","Avenguda el Traves 7, La Massana AD400, Andorra ",42.5470398,hotel
4.5,1.5357071,"

A Casa Canut Hotel Gastronomic
","Av Carlemany, 107, Escaldes-Engordany AD700, Andorra ",42.5085227,hotel
4.5,1.5994581,"

Hotel Font d'Argent
","Avda del Coprinceps, s/n, Canillo AD100, Andorra ",42.5666535,hotel
4.0,1.6507314,"

Chalet Casale
","El Tarter, Soldeu, Andorra ",42.5798288,hotel
4.5,1.4927411,"

Coma-Bella Hotel Sant Julia de Loria
","Ctra De La Rabassa, Km 6, Andorra la Vella AD600, Andorra ",42.4662168,hotel
4.0,1.5872696,"

Aparthotel Shusski
","Avenida Francois Mitterrand 83, Encamp AD200, Andorra ",42.5349316,hotel
4.5,1.7325803,"

Hotel De Les Pistes
","Carrer Bearn 008, Pas de la Casa AD200, Andorra ",42.541238,hotel
4.0,1.6105098,"

Hotel Mila
","Ctra dels Cortals, Encamp AD200, Andorra ",42.5335309,hotel
4.0,1.6660487,"

Hotel Naudi
","Carretera General, Soldeu AD100, Andorra ",42.577791,hotel
4.0,1.5132503,"

Hotel Rutllan
","Av del Ravell, 3, La Massana AD400, Andorra ",42.5473946,hotel
4.0,1.5420049,"

Hotel Espel
","Plaza de la Creu Blanca 1, Escaldes-Engordany AD700, Andorra ",42.5104265,hotel
4.5,1.5822883,"

Hotel Univers
","C/ Rene Baulard 13, Encamp AD200, Andorra ",42.5370213,hotel
4.0,1.549253,"

Hotel La Cabana
","Carretera del Coll d'Ordino s/n, Ordino AD300, Andorra ",42.5538288,hotel
4.5,1.549253,"

Casa Vella Hotel Ordino
","Carretera Coll d Ordino s/n Ordino, Ordino AD300, Andorra ",42.5538288,hotel
4.0,1.5388704,"

Hotel Bringue
","Carretera General de Ordino, 3, El Serrat AD300, Andorra ",42.618587,hotel
4.0,1.6660487,"

Hotel Galanthus & Spa
","Crta Gral. n 2 | Km.18, Soldeu AD100, Andorra ",42.577791,hotel
4.0,1.583345,"

Guillem Hotel
","Carrer Dels Arinsols 10, Encamp AD200, Andorra ",42.5356628,hotel
4.0,1.6660487,"

Hotel Bruxelles
","Ctra. General 2, Soldeu AD100, Andorra ",42.577791,hotel
4.0,1.5998403,"

Hotel Bonavida
","Placa Major, Canillo AD100, Andorra ",42.5664294,hotel
4.0,1.5369236,"

Hotel Les Closes
","Avinguda Carlemany 93, Escaldes-Engordany AD700, Andorra ",42.5086202,hotel
4.0,1.6660487,"

Sport Hotel
","Crta. General s/n, Soldeu AD100, Andorra ",42.577791,hotel
4.0,1.5234345,"

Hotel Anyos Park
","Crta. d'Anyos | Crta. d'Anyos, La Massana AD400, Andorra ",42.5327491,hotel
4.0,1.5595277,"

Hotel Roc de Caldes
","Crta d'Engolasters s/n, Escaldes-Engordany AD700, Andorra ",42.5109116,hotel
4.0,1.5135183,"

Hotel Magic Ski
","Avinguda del Ravell 1, La Massana AD400, Andorra ",42.5470174,hotel
4.0,1.7319228,"

Magic Pas Hotel
","Carrer Sant Jordi 19 - 21, Pas de la Casa AD200, Andorra ",42.5426284,hotel
4.0,1.5830224,"

Montecarlo Hotel
","Av. Co-Princep Episcopal 104, Encamp AD200, Andorra ",42.5362652,hotel
4.5,1.7322992,"

Hotel Casado
","Catalunya, 23, Pas de la Casa AD200, Andorra ",42.5420474,hotel
3.5,1.5301422,"

Magic Andorra Hotel
","Av. Doctor Mitjavila 3-9, Andorra la Vella AD500, Andorra ",42.5093171,hotel
3.5,1.7333077,"

Hotel Catalunya
","Carrer Catalunya 4, Pas de la Casa AD200, Andorra ",42.5418292,hotel
4.0,1.4818459,"

Patagonia Atiram Hotel
","Carretera de Compallemple S/n, Arinsal AD400, Andorra ",42.5748011,hotel
3.5,1.4856863,"

St Gothard Hotel
","Carretera d'Arinsal s/n, Erts AD400, Andorra ",42.5716787,hotel
4.0,1.5330732,"

Hotel Babot
","Ctra d'Ordino a Canillo | Cap del Puy, Ordino AD300, Andorra ",42.5556547,hotel
4.0,1.4818459,"

Hostel Micolau
","Ctra General d'Arinsal, 15, Arinsal AD400, Andorra ",42.5748011,hotel
4.0,1.5408519,"

Hotel Metropolis
","Avinguda de les Escoles 25, Escaldes-Engordany AD700, Andorra ",42.5102509,hotel
4.0,1.4921277,"

Hotel Coma Bella
","Crta De La Rabassa Sn, km 6, Sant Julia de Loria AD600, Andorra ",42.4657861,hotel
4.0,1.5872696,"

Aparthotel Shusski
","Avenida Francois Mitterrand 83, Encamp AD200, Andorra ",42.5349316,hotel
4.5,1.7325803,"

Hotel De Les Pistes
","Carrer Bearn 008, Pas de la Casa AD200, Andorra ",42.541238,hotel
4.0,1.6105098,"

Hotel Mila
","Ctra dels Cortals, Encamp AD200, Andorra ",42.5335309,hotel
4.0,1.6660487,"

Hotel Naudi
","Carretera General, Soldeu AD100, Andorra ",42.577791,hotel
4.0,1.5132503,"

Hotel Rutllan
","Av del Ravell, 3, La Massana AD400, Andorra ",42.5473946,hotel
4.0,1.5420049,"

Hotel Espel
","Plaza de la Creu Blanca 1, Escaldes-Engordany AD700, Andorra ",42.5104265,hotel
4.5,1.5822883,"

Hotel Univers
","C/ Rene Baulard 13, Encamp AD200, Andorra ",42.5370213,hotel
4.0,1.549253,"

Hotel La Cabana
","Carretera del Coll d'Ordino s/n, Ordino AD300, Andorra ",42.5538288,hotel
4.5,1.549253,"

Casa Vella Hotel Ordino
","Carretera Coll d Ordino s/n Ordino, Ordino AD300, Andorra ",42.5538288,hotel
