42,Novotel Andorra," Prat de la Creu s/n 011, Andorra la Vella AD500, Andorra 
",hotel,42.5075,1.52755,4.0,4205,4586
43,Hotel Pyrenees," Av. Princep Benlloch 20, Andorra la Vella AD500, Andorra 
",hotel,42.5074,1.51968,4.0,4586,4830
44,Ski Plaza Hotel," Ctra General s/n, Canillo AD100, Andorra 
",hotel,42.5667,1.59946,4.0,4830,4953
45,Sport Hotel Village," Ctra. General s/n, Soldeu AD100, Andorra 
",hotel,42.5778,1.66605,4.5,4953,5128
46,Grau Roig Andorra Boutique Hotel & Spa," Grau Roig Sector | Ski Resort Granvalira, Grau Roig AD200, Andorra 
",hotel,42.5324,1.70022,5.0,5128,5264
47,Hotel LErmita," Ctra de Meritxell, Meritxell, Canillo AD100, Andorra 
",hotel,42.5531,1.59017,4.5,5264,5396
48,Hotel Sol-Park," Carretera de Fontaneda, Sant Julia de Loria AD600, Andorra 
",hotel,42.4574,1.47557,3.5,5396,5458
49,Centric Atiram Hotel," Av. Meritxell 87-89, Andorra la Vella AD500, Andorra 
",hotel,42.5083,1.53136,4.0,5458,5868
50,Kandahar Hotel," C/ Bearn, 5, Pas de la Casa AD200, Andorra 
",hotel,42.5416,1.73285,4.5,5868,5939
51,Hotel Himalaia Pas," Calle de la Solana, 51, Pas de la Casa AD200, Andorra 
",hotel,42.541,1.73081,4.0,5939,6012
52,Hotel Piolets Park & Spa," Carretera General, s/n, Soldeu 100, Andorra 
",hotel,0.0,0.0,4.0,6012,6245
53,Hotel Roc de Sant Miquel," Carretera General, Soldeu AD100, Andorra 
",hotel,42.5778,1.66605,4.5,6245,6248
54,Hotel Sporting," Carrer de Catalunya 1, Pas de la Casa AD200, Andorra 
",hotel,42.5417,1.73362,4.5,6248,6316
55,Himalaia Soldeu," Ctra. Canillo Soldeu, s.n, Soldeu AD100, Andorra 
",hotel,42.5778,1.66605,4.0,6316,6503
56,Hotel Eurostars Andorra Centre," Avinguda Meritxell, 23, Andorra la Vella AD500, Andorra 
",hotel,42.508,1.52478,4.0,6503,6623
57,Hotel Llop Gris," Cami Del Pont Del Tarter, Prat De La Mestranca, El Tarter AD100, Andorra 
",hotel,42.5802,1.65117,3.5,6623,6701
58,Hotel Les Truites," C/Dels Pareatges, 8, Pas de la Casa AD200, Andorra 
",hotel,42.5431,1.73477,5.0,6701,6799
59,Xalet Verdu Hotel," Prat de Verdu - Carretera General, Arinsal AD400, Andorra 
",hotel,42.5748,1.48185,4.0,6799,6960
60,Patagonia Atiram Hotel," Carretera de Compallemple S/n, Arinsal AD400, Andorra 
",hotel,42.5748,1.48185,4.0,6960,7028
61,Font DArgent Hotel," C/ Bearn, 20, 22, 24, Pas de la Casa AD200, Andorra 
",hotel,42.5419,1.73187,4.5,7028,7076
62,Hotel Nordic," Carreterra General s/n | Prat De LObac, Sant Pere Del Tarter, El Tarter AD100, Andorra 
",hotel,42.5802,1.65117,4.0,7076,7252
63,Abba Xalet Suites Hotel," Terra Major de Sispony, S/N, Sispony AD400, Andorra 
",hotel,42.5341,1.51557,3.5,7252,7511
64,Hotel Anyos Park," Crta. dAnyos | Crta. dAnyos, La Massana AD400, Andorra 
",hotel,42.5456,1.51474,4.0,7511,7789
65,Hotel Magic Canillo," Ctra Del Forn s/n Urb Riba Grossa, Canillo AD100, Andorra 
",hotel,42.5667,1.59946,3.5,7789,7972
66,Hotel Exe Prisma," Avinguda del Fener, 14, Escaldes-Engordany AD700, Andorra 
",hotel,42.5082,1.53856,4.0,7972,8228
67,Sport Hotel," Crta. General s/n, Soldeu AD100, Andorra 
",hotel,42.5778,1.66605,4.0,8228,8270
68,Hostel Micolau," Ctra General dArinsal, 15, Arinsal AD400, Andorra 
",hotel,42.5748,1.48185,4.0,8270,8294
69,Hotel Palarine," Carretera General dArinsal, Erts AD400, Andorra 
",hotel,42.5616,1.49681,4.5,8294,8304
70,Petit Hotel," C/ Sant Jordi nom 18, Pas de la Casa AD200, Andorra 
",hotel,42.5431,1.73202,4.5,8304,8377
71,Hotel Palome," Ctra dArinsal, s/n, Erts AD400, Andorra 
",hotel,42.5751,1.48148,4.5,8377,8574
72,Hotel Cristina," La Solana, 24, Pas de la Casa AD200, Andorra 
",hotel,42.5426,1.73158,4.5,8574,8612
73,Hotel Del Pui," Av. Del Traves, 5, La Massana, Andorra 
",hotel,42.5472,1.51492,4.5,8612,8691
74,Hotel del Tarter," Crta. Nacional 2, El Tarter AD100, Andorra 
",hotel,42.5802,1.65117,4.5,8691,8785
75,Hotel Sant Miquel," Carretera General, 3, Ansalonga AD300, Andorra 
",hotel,42.5686,1.52101,4.5,8785,8813
76,Aparthotel Poblado," Carretera General, Arinsal AD400, Andorra 
",hotel,42.5846,1.47078,4.5,8813,8813
77,Aparthotel Casa Vella," Carretera Coll dOrdino, Ordino AD300, Andorra 
",hotel,42.5538,1.54925,4.5,8813,8856
78,Hotel Spa Diana Parc," Ctra. General dArinsal, Arinsal AD400, Andorra 
",hotel,42.5748,1.48185,4.5,8856,8904
79,Hotel Obaga Blanca," Ctra. del Forn, S/N, Canillo AD100, Andorra 
",hotel,42.5601,1.60181,4.5,8904,9006
80,Mola Park Atiram Hotel," Av. Josep Viladomat 22, Escaldes-Engordany AD700, Andorra 
",hotel,42.5127,1.53572,4.5,9006,9326
81,Aparthotel Els Meners," Ctra. General s/n, Canillo AD100, Andorra 
",hotel,42.5667,1.59946,4.5,9326,9352
82,Hotel Montane," Carretera General dArinsal, Arinsal AD400, Andorra 
",hotel,42.5748,1.48185,4.5,9352,9410
83,Hotel Segle XX," Ctra General de Ransol s/n, Ransol AD100, Andorra 
",hotel,42.5814,1.63828,4.0,9410,9588
84,Hotel Coma," Camp de la Tanada, Ordino AD300, Andorra 
",hotel,42.5553,1.5345,4.5,9588,9697
85,Hotel Parador Canaro," Carretera General Incles-Soldeu, Incles AD100, Andorra 
",hotel,0.0,0.0,4.5,9697,9793
86,Roc Blanc Hotel," Plaza Coprincep 5, Escaldes-Engordany AD700, Andorra 
",hotel,42.5092,1.53945,4.0,9793,10199
87,Hotel Camp del Serrat," Carretera Engolasters, Escaldes-Engordany AD700, Andorra 
",hotel,42.5109,1.55953,4.5,10199,10249
88,Hotel Rutllan," Av del Ravell, 3, La Massana AD400, Andorra 
",hotel,42.5474,1.51325,4.0,10249,10375
89,A Casa Canut Hotel Gastronomic," Av Carlemany, 107, Escaldes-Engordany AD700, Andorra 
",hotel,42.5085,1.53571,4.5,10375,10491
90,Hotel Mila," Ctra dels Cortals, Encamp AD200, Andorra 
",hotel,42.5335,1.61051,4.0,10491,10557
91,Magic La Massana," Avenguda el Traves 7, La Massana AD400, Andorra 
",hotel,42.547,1.51531,4.0,10557,10717
92,Hotel Llac Negre," Carrer Sant Jordi 43, Pas de la Casa AD200, Andorra 
",hotel,42.5437,1.73121,4.5,10717,10731
